"","n","var_CV","yield","season_length","rain_prob","strong_rain_prob","storm_prob","frost_prob","chill_requirement","output_1","output_2","output_3","output_4","output_5","output_6","output_7","output_8","output_9","output_10","output_11","output_12"
"18",1,0.0359978515881891,95.5488742455707,70.8344205317824,0.271610627486838,0.0948676810033121,0.062351003363466,0.285205488843428,0.707203062249647,60.5061703489453,65,22,-85,-85,2,-35,-40,-3,75,65,-2
"19",1,0.0235881363210359,90.7565970674096,76.7063788542518,0.139179480975388,0.0620217944455351,0.0842269134818469,0.287278250427042,0.84264044165531,55.7473303077959,65,17,-60,-60,3,90,85,2,35,30,6
"20",1,0.017988140044925,96.7874437586743,73.4749199367834,0.22118697796024,0.0736999038942094,0.0991081712026,0.417704849674068,0.639005622933766,81.7964042043542,85,15,0,-5,3,75,75,1,45,35,5
"21",1,0.0225969728619796,98.1607322277399,77.1974073348936,0.432592418849364,0.0846152820996693,0.07699401187451,0.369132735005881,0.702195711868537,228.186511813213,225,18,-55,-50,2,-140,-145,-1,-100,-95,5
"22",1,0.0388418650125152,98.6009845954162,76.9529534587928,0.357474865509742,0.0937322779174883,0.0496594097512965,0.284888014138388,0.759318158017896,48.6501884490835,45,17,60,60,5,65,70,-3,95,100,3
"23",1,0.0344373542822847,96.1202805306882,76.9242106029563,0.207560476924667,0.0843013365763217,0.0438953671307847,0.352655826146267,0.85883490839814,176.069781795844,180,23,-205,-210,-2,-20,-20,-11,-25,-25,-8
"24",1,0.0266351585599142,97.6129961361847,77.9910615136811,0.244013298482167,0.0523873541621367,0.0675159336819329,0.331583199691287,0.845846059919281,92.6213382299998,95,21,-20,-20,6,145,140,-3,85,80,-6
"25",1,0.0371837633122856,92.9443944918624,75.9191779329433,0.230258850778111,0.0747692123355677,0.0920292521608167,0.39136431679549,0.712141338479405,158.001698233842,160,20,-140,-140,-2,-60,-60,3,-20,-20,-7
"26",1,0.0222329406753067,99.9198352365281,77.6894533608459,0.213831316792442,0.0556986166164894,0.0595205406095145,0.282618801769321,0.751741417123248,184.887688337367,185,22,-200,-200,5,-10,-10,-2,-145,-150,-2
"27",1,0.0105377845895325,94.2064112659613,74.6023037529884,0.133976849416668,0.0682281910587628,0.0736153203786647,0.346798306566011,0.670370890202904,219.217791590003,225,11,-105,-105,13,-155,-165,11,-50,-50,8
"28",1,0.0278537095961867,96.6915870208728,72.1753783790922,0.110379755218188,0.0718079647688913,0.0826813612441177,0.415749117657148,0.587958118719561,216.688833164839,215,15,-110,-105,-2,-165,-165,5,-155,-155,5
"29",1,0.0326732029580558,96.0833596616085,76.4991495778076,0.401419679787088,0.0891065293944228,0.0546387550036589,0.372026575933907,0.680237196839409,86.1402634425719,90,17,-75,-75,4,-40,-40,1,-10,-15,0
"30",1,0.031545780692374,93.6489979795111,78.2765585563771,0.304909777419756,0.0506081632163676,0.109221367257401,0.285101796310725,0.618623801370235,193.605706354047,200,16,-80,-80,5,-65,-70,2,-100,-100,9
"31",1,0.0290354354645467,100.806062039962,79.2490914361187,0.177392596835356,0.0782449275178254,0.0857522478573218,0.354082243216694,0.755197369211756,120.823504699107,115,20,-120,-120,4,-110,-105,0,15,20,3
"32",1,0.019678227036626,94.4290383094925,71.8193039512197,0.464895186734897,0.0634111747760776,0.0796157566121906,0.297512711863586,0.740501863320164,144.458003483398,150,18,-50,-50,2,15,10,0,-70,-75,4
"33",1,0.023661721042591,91.5513931005306,74.4775727043076,0.437227679818126,0.0594031895586379,0.0791945009544436,0.190356442482323,0.754752777822462,151.544353277073,160,10,-40,-40,11,85,80,3,-55,-60,10
"34",1,0.0195655452837312,97.7072307975751,77.6022386489614,0.313853496851667,0.0627050532469442,0.0927176746260431,0.3749528013877,0.599377241514317,67.7151819136394,70,17,-5.00000000000001,-5,8,55,50,1,-15,-20,5
"35",1,0.0162823223646398,94.418456164888,75.1319358568678,0.208830849808224,0.0818319665320832,0.077990541080409,0.484438134164622,0.847209204898117,104.398900461489,105,16,-55,-50,10,25,30,7,-35,-35,6
"36",1,0.0373223931516562,95.2144409564011,75.1658983176104,0.254891970115676,0.0720932227176602,0.0875363052685354,0.298827318987599,0.750490444685008,260.197555892091,265,10,-225,-230,14,-105,-110,11,-85,-85,11
"37",1,0.0347389923269745,97.8319376031868,72.9975779255235,0.271461709200549,0.0704811836654238,0.0871004873423674,0.267807240072682,0.703394467463344,22.8063449888304,25,17,25,20,6,15,15,2,0,0,5
"38",1,0.0311584322770309,93.4894238345065,76.2338875294091,0.285416372070317,0.0898471419317871,0.099412165040855,0.266409741769994,0.750497411094782,113.45334267483,120,15,5,5,11,-30,-30,6,50,45,3
"39",1,0.0344622671166721,96.2892397715941,75.2261907268897,0.28663879847928,0.0914759035853858,0.061658735860538,0.336334465915057,0.78105784184859,101.285806184882,100,22,-100,-95,0,15,20,2,-50,-50,-3
"40",1,0.0465882236002282,94.7895086444638,71.7479054454588,0.12692479895771,0.0979261240055388,0.0756659244465849,0.277246569457501,0.727210102018894,159.813521320949,165,21,-140,-145,-6,-40,-45,-7,-15,-15,-3
"41",1,0.0543071445877362,96.9688480075414,73.7334123875716,0.365001836241485,0.071514309746715,0.07832924723043,0.260247935740043,0.76548284806005,62.00429002137,60,18,10,15,2,25,20,4,105,105,-1
"42",1,0.0377229896149577,101.206120347351,77.014342775705,0.247095341981579,0.0543384543514738,0.078317947478402,0.243089817509043,0.694708991158259,236.221234904165,230,18,-95,-90,5,-120,-115,1,-170,-170,4
"43",1,0.00159555540670927,96.3512091810684,82.0377631562618,0.308476044177159,0.0649550062037543,0.0958337942625195,0.28158508046981,0.853553909185787,146.35180372294,150,19,70,70,-2,65,65,-2,-100,-105,2
"44",1,0.0452415430837395,94.0262375159067,73.0517740691517,0.36693305946519,0.0780980192382607,0.0632554789978996,0.317264119167346,0.775447860025335,28.9620760651435,35,18,100,95,5,25,25,-2,40,35,-1
"45",1,0.0335623214577888,90.3079194376278,77.6481927327918,0.336265020486846,0.0727304636201161,0.0772468076022716,0.26927167538221,0.725418708809472,95.3444663777095,100,18,-35,-30,2,40,40,-1,85,90,2
"46",1,0.0354314611667516,94.0585206867186,71.6323626985396,0.225480490373284,0.0811540372835764,0.0657988821085525,0.267978460644072,0.672038691574264,134.090832462033,135,16,5,10,2,-50,-45,0,-15,-10,9
"47",1,0.0221305612608016,95.7747927046804,73.0995100223985,0.249079725954522,0.0561456714396102,0.0576059065101237,0.418852769351917,0.864723233861436,120.808449178187,125,22,-150,-150,-1,-75,-80,-1,20,15,-1
"48",1,0.0213191316674493,100.024356906668,76.8668715525413,0.371504236272844,0.079869185865494,0.0915542975261085,0.290999530974082,0.67447908233942,175.016906874743,175,19,-115,-120,2,20,15,-2,-135,-135,5
"49",1,0.0123229127234793,87.0196550625882,81.2706488718534,0.180293905106521,0.0751377290129543,0.0757889967213108,0.327821904654267,0.792490612364307,102.013849306288,115,18,-50,-50,7,85,80,-1,120,120,0
"50",1,0.0149572907789052,103.200873232633,73.9736184017006,0.201895731711037,0.0511940357316577,0.0535250220735401,0.227129153816919,0.865734662010509,198.198188718858,195,17,-225,-230,6,-90,-100,2,-130,-140,6
"51",1,0.0279685158519165,97.0408248733088,82.2883947891624,0.25869119339094,0.0991293118600821,0.0918349068525838,0.334199241784903,0.817616965627262,142.048915339244,145,14,-70,-70,6,-40,-40,6,-35,-35,5
"52",1,0.00197737662880412,96.6474538150668,74.3648718255226,0.296609465932606,0.0673841238008131,0.0625810045073766,0.397858669855032,0.882940716744644,181.647540974401,185,18,-105,-105,-1,0,-5,-1,-55,-55,1
"53",1,0.0367589448811679,96.5735324337305,76.2041210182584,0.39407002003907,0.0922552458646153,0.0453242319582779,0.347814379129923,0.750599430957462,136.561183761188,140,17,0,-5,2,-65,-65,0,-25,-30,1
"54",1,0.013536242643512,97.0540426942922,71.7295700505773,0.260877299695222,0.0728705837666741,0.0868584310817277,0.310763370721741,0.664295768826824,117.031020165561,120,17,25,20,-3,40,35,2,-30,-30,1
"55",1,0.0203672807773001,90.0034946756566,76.4393513828353,0.440912976156225,0.0788297532921124,0.0486904136817859,0.36307036538931,0.723372578867371,70.0112678992363,75,18,40,45,-1,85,90,4,45,50,2
"56",1,0.0226975495804659,88.5394894712213,71.2717771968462,0.221719488613126,0.0796273502283455,0.0794652303358184,0.31003837468735,0.617529938742931,183.551810117107,195,16,-65,-65,4,-30,-30,1,-25,-30,4
"57",1,0.0300504586731701,96.7657696564693,75.0650459808326,0.0574418465877043,0.0497846917364741,0.0884131005870799,0.302455185660223,0.605553424284218,181.750110914078,180,15,-50,-45,8,40,40,5,-130,-130,6
"58",1,0.0508359067943536,96.9330956318042,77.8691700194737,0.373797110219382,0.0753847167009113,0.0493384397254139,0.284842648030323,0.555734062972641,96.9169751281921,100,25,-40,-45,-2,10,0,-10,35,35,-4
"59",1,0.021516189116139,97.417238160801,73.4677079800311,0.0106412091386415,0.0756901202247017,0.0932826360345479,0.285320646726678,0.741618565896089,107.439728149673,110,22,-65,-70,-1,-30,-40,2,-25,-25,-2
"60",1,0.0387201259298428,94.1090614982359,72.5805655812926,0.366306606083587,0.0996453623919042,0.0991706726460077,0.339338523584256,0.755351287453327,94.0968895280006,90,17,25,35,1,50,55,-1,45,55,2
"61",1,0.0300607373105991,87.5553396023343,74.3101956380408,0.363384964944055,0.0360820968585286,0.0787252258001839,0.198091793695575,0.724275179504027,82.5258547357094,95,21,-40,-40,-2,125,125,0,35,35,-4
"62",1,0.024917440424122,94.4100830967242,78.2363663058577,0.218680495549643,0.08141441639049,0.0519919716087727,0.455380954116764,0.665459363038163,74.43355449194,80,28,-50,-55,-9,-10,-15,-9,40,35,-10
"63",1,0.0419638378111064,92.4707677663029,76.449166223966,0.257449745120936,0.0774837752850688,0.0713101122672972,0.132176729983251,0.825366040305367,122.483374182502,130,21,20,15,-5,40,35,-5,55,50,0
"64",1,0.0389792390582503,100.09588579181,76.5988733673188,0.308775185647237,0.06502120111176,0.0847533024375994,0.273233456723356,0.732480995944114,20.0651101417005,20,16,-75,-75,7,150,150,-1,80,80,9
"65",1,0.0359848563040646,90.8993083940145,79.5075211570394,0.373579434695437,0.0638350157603635,0.102478610735699,0.200073269200616,0.722970377052757,130.901164177883,135,16,-70,-70,9,-5,-5,-2,-30,-30,5
"66",1,0.0255060412895662,96.1506279368356,75.231327683178,0.482143596172882,0.0718676636831875,0.0842736361838384,0.270409061485846,0.629634243422989,106.176188368348,110,13,-10,-15,3,105,100,6,35,35,9
"67",1,0.0249825671372737,96.8744104802854,78.5060098280923,0.287257329729083,0.0690645513390924,0.0432708906405637,0.350380795144123,0.763907620140379,151.868936440743,155,20,-85,-85,-3,35,35,3,135,135,1
"68",1,0.0207398861727287,101.286295945511,75.4593532881856,0.167976519439101,0.0759048042630545,0.0879151759744622,0.277574447304628,0.69004165155049,131.267204697972,130,19,35,35,3,45,40,-5,-20,-25,2
"69",1,0.0388648125059372,93.6416907551315,78.1456022945042,0.0459958165049894,0.0869098221333892,0.0819892570823691,0.309290602816753,0.806047460231785,263.666913120519,270,12,-230,-230,5,-110,-115,4,-195,-195,9
"70",1,0.0166099097939126,92.9700892315699,75.2410268238102,0.103075310002343,0.0925639718169406,0.0942923602712946,0.288571926144,0.802550261583643,107.982335912537,115,23,-70,-70,-1,85,85,-5,-100,-100,2
"71",1,0.0190793901562743,92.7553647045274,78.9835186483691,0.10081382482422,0.0754166120506547,0.0773998770720675,0.354601715011459,0.723004788322366,132.759536056717,140,20,-100,-100,5,-75,-80,0,5,5,3
"72",1,0.0371390969333749,94.8525327793712,72.606285521677,0.340178743244461,0.0869339830827806,0.0670832279696269,0.389316466512174,0.816466754363478,179.916668514413,180,16,-70,-65,5,-5,0,1,-85,-80,5
"73",1,0.0435848768888175,97.2934665932908,75.680853375483,0.314839561400794,0.062536356594307,0.0639347507188224,0.226612163921531,0.591593600724705,157.363508925468,155,13,-160,-155,8,-5,-5,9,20,20,10
"74",1,0.0266829988569625,97.5479926835882,74.955058854869,0.439048776590689,0.0773850621003149,0.0586078049274201,0.378994028348436,0.658573490176462,142.538027412596,145,18,-120,-125,6,-80,-80,5,-140,-140,-2
"75",1,0.0233632986205486,96.6295219921431,75.5819769704469,0.565307018530049,0.0516757597982303,0.0775882627835969,0.279995537029274,0.686349153678642,206.598722093222,205,15,-110,-115,0,35,40,2,-75,-70,4
"76",1,0.0450652313012477,94.1996421711607,71.4402601139899,0.416846178044434,0.07686614394066,0.0866205866390915,0.262171161927972,0.731611823746495,189.219802786054,195,14,-170,-170,2,20,15,2,-110,-120,1
"77",1,0.0268963208981084,90.3689016252408,75.719531275076,0.372167782946453,0.0579161633935353,0.050423564608227,0.288980337269072,0.853350432840913,95.3790380134152,100,13,-120,-120,8,-40,-35,7,-60,-60,7
"78",1,0.036530125199757,94.920648774087,74.2249334419797,0.307004523574819,0.0542005059821628,0.0652456391367398,0.327225534018337,0.747759128649019,144.865500708922,150,15,-40,-45,7,-5,-15,2,-120,-125,9
"79",1,0.0429614687871091,93.9959127650801,70.9389580152044,0.183109722120322,0.0405561966769996,0.0651987979995293,0.294283226301788,0.672796996299711,104.015831383662,110,19,-160,-160,1,25,20,0,40,35,-1
"80",1,0.0249843787447275,96.4550503521412,80.9354986311512,0.193660163454048,0.0837771559612927,0.0953241531430714,0.250939800494322,0.82845165342344,191.437679307415,195,24,-185,-185,2,-50,-50,0,-85,-90,-2
"81",1,0.0272669205483888,93.3820848912946,77.3433841820991,0.237253701795226,0.0657208356635895,0.0763931126466519,0.31306116167218,0.737713312263441,143.346020048091,145,14,-85,-80,7,-30,-25,2,-110,-110,8
"82",1,0.0287607671553626,95.2049706669534,68.2843059808317,0.227122459304121,0.0679418988588109,0.0653922226187874,0.37253967552989,0.561863888105989,160.180726298258,165,16,-30,-30,6,-5,-10,1,-125,-125,5
"83",1,0.0543631689365447,97.8246800212623,75.0989679032957,0.169089975287938,0.0563665970046938,0.124524440340958,0.365042397290959,0.877932067042984,162.856390634733,165,18,-40,-40,7,-160,-165,6,-20,-20,-2
"84",1,0.0362833260655743,97.0321907591128,71.1000382351427,0.201596792149276,0.0573631175894689,0.0782168489710315,0.348191314640687,0.708792131190703,-2.93620558390721,0,18,95,90,-1,70,65,-4,125,125,2
"85",1,0.0156599312462188,95.87547390112,79.885134164452,0.124860438375189,0.0673379445278567,0.0963711154133363,0.176026948572545,0.769759303796663,140.881517323682,145,19,-60,-60,0,-25,-30,5,45,45,-1
"86",1,0.0229662782434051,97.0096865068592,73.1569979987581,0.369091884002812,0.0681445474556831,0.0608969765481711,0.369281791172779,0.686337376541181,156.918185371166,160,20,-70,-70,3,25,20,0,-100,-105,4
"87",1,0.0246958516615203,91.6766758828936,76.7529026513895,0.366770465408038,0.0530764940479999,0.0571460188537664,0.211605718542481,0.616895884396958,136.693351351711,140,20,-150,-145,3,-105,-100,5,-115,-110,3
"88",1,0.0464125681464035,94.3898641450419,70.6576441431614,0.0410603861101811,0.0707732808005987,0.0768524942709665,0.363947606435893,0.675942703059348,159.317752996855,165,12,-220,-220,10,70,65,2,20,20,4
"89",1,0.0412805969217954,92.0250239629296,77.3094514435626,0.455361864978855,0.0655515542418289,0.0721763309902069,0.381819510769821,0.781690130280396,106.970976669512,115,16,-105,-105,2,25,20,1,50,50,-2
"90",1,0.0258080367018248,95.6998630763942,77.3767543431822,0.310589184792929,0.0639884363222539,0.10321602936475,0.121106108941041,0.737555588228588,155.70735548897,160,15,-20,-25,1,25,25,9,-45,-45,-2
"91",1,0.0314368658392245,98.8807488809804,75.6311643419778,0.217684555451854,0.0693410405646565,0.0822283020196645,0.369708477378205,0.87548469322609,148.840701595038,150,16,-75,-80,3,-35,-35,3,30,25,4
"92",1,0.0401898517469897,100.12551352585,75.6023095442876,0.230771397657347,0.0744788935893169,0.073301137146563,0.257628553226851,0.650131308958411,95.1225021977679,95,16,-85,-95,3,30,30,5,75,75,3
"93",1,0.0227880062597293,96.9411490662401,75.4999495191643,0.420210704833679,0.0979418139154904,0.0629958889943428,0.306648581409028,0.690627641309811,141.93430752558,145,15,-130,-130,7,-70,-80,4,-35,-40,1
"94",1,0.041757000385921,89.2506986958343,77.3557396161078,0.54546720920776,0.0706408617840075,0.0929778180854908,0.266413772001962,0.766759717508935,104.223418881407,115,16,-30,-30,4,30,30,5,90,90,4
"95",1,0.0423508629578741,99.6019901600947,77.1710716182031,0.479831979400332,0.0393807596132777,0.0862072280276916,0.352408107595878,0.778943873962669,104.582645995817,100,18,-130,-130,2,45,45,4,60,65,-2
"96",1,0.0185504478552985,97.3628995272765,74.2182093635522,0.30856093241745,0.0904087039119077,0.0958923160322771,0.263485915178135,0.805180518422807,142.353870454327,145,10,-100,-100,8,-75,-80,9,-5,-5,10
"97",1,0.0351471224615805,96.1793971499813,76.1894172268033,0.433939917734927,0.0659463142438213,0.0873946028159292,0.363665697422764,0.732142018479494,61.1495945221252,65,22,-35,-35,-2,60,55,-6,130,130,-1
"98",1,0.0151110277458977,93.5767695260936,74.2416613148279,0.233349075349654,0.0610493493617924,0.0884572602303817,0.44427773542683,0.734320022886013,93.5943410373886,100,21,30,30,0,-10,-15,-2,140,140,-3
"99",1,0.0454012490800354,95.5951025370538,69.4444340669404,0.749377910135416,0.0873058134658559,0.0898628634627714,0.245921417723523,0.77280998932493,175.604921007685,175,15,-180,-185,10,-120,-120,8,-75,-70,5
"100",1,0.0434055033011507,95.3580701086283,77.2461651050453,0.318541098568924,0.0736958625483568,0.034092342285087,0.385333412461874,0.787963648908588,90.3439096284414,95,22,-35,-35,-2,10,5,-2,-85,-85,-2
"101",1,0.0222108362557846,91.154779016949,78.8319428948538,0.515930402807053,0.0610468266153073,0.0732849713743168,0.245943073250203,0.704476209407281,86.0972230640981,95,21,60,60,-5,165,165,-7,-9.99999999999999,-10,3
"102",1,0.0380286906692597,99.8122696832437,75.7237105437546,0.302529913340598,0.074547024600635,0.0840737043076213,0.302066223209569,0.834534221225426,199.834708860921,195,19,-85,-80,3,-100,-95,3,-20,-15,-3
"103",1,0.0197004404854226,92.5180350170321,73.5146263346983,0.170966824452544,0.038918671644474,0.0814925321635711,0.355636992354656,0.786271542216042,82.5133293758669,90,24,-15,-15,-2,-15,-25,-5,20,10,-1
"104",1,0.0470749533539587,95.1909722215921,77.2032295416148,0.357914370162155,0.0631625912918149,0.0565939681601984,0.323487883736485,0.7771062055104,265.297192825581,270,18,-215,-220,6,-90,-95,1,-65,-65,-6
"105",1,0.049920792375869,97.6117129190492,73.8576438719841,0.43396811049975,0.0893045020640686,0.0647217922386375,0.331043136193612,0.810537319678119,112.661030699687,115,20,-55,-65,-6,55,50,-7,25,20,-3
"106",1,0.0195158405498511,93.8953199204655,71.8903781257235,0.141864573810342,0.0717575023305576,0.100030112384385,0.289966139815225,0.723690992093101,143.936338814824,150,16,-30,-30,6,-15,-20,-1,-60,-60,9
"107",1,0.0407579256464879,95.2317107945106,72.7380999999053,0.404750009135611,0.0774464300842837,0.0822312272547496,0.261638809377928,0.787478453297291,185.221850754593,185,18,-95,-95,1,5,5,-6,-60,-55,-2
"108",1,0.0537746254786934,96.2679830880089,77.2984965864673,0.19247047890787,0.0762865879980869,0.0446021645414485,0.310872489525549,0.655582334052315,171.212295012493,175,19,-90,-90,2,5,0,2,-10,-15,0
"109",1,0.042929245068654,93.8614888250294,75.5034401100865,0.459879276897016,0.0665377737082646,0.0797442849371633,0.302912737337638,0.782097698834743,128.872162614375,135,17,-145,-150,4,70,60,-4,-115,-120,3
"110",1,0.0443876193018586,95.345732713556,76.1349756879787,0.449485535231317,0.0892989076784426,0.0761154449936455,0.308689732109413,0.758122776392045,40.3617600351929,45,20,50,50,3,35,35,1,-30,-35,-1
"111",1,0.0244389025110356,100.61685494074,78.0142637645769,0.319324183422475,0.0870256380081362,0.0623409759381703,0.381551397803083,0.697297256954684,265.633114943585,265,11,-200,-200,13,-150,-150,13,-215,-220,10
"112",1,0.0258447005991338,94.8365976915595,72.6395593524547,0.445516901162338,0.0916277208287876,0.084753191240205,0.239099494022083,0.816832466315788,59.8480361880497,65,16,35,30,9,30,25,3,5,0,6
"113",1,0.0351052875793094,97.1522555786305,79.8031203802986,0.316668789807364,0.0699041314098105,0.0833973497904142,0.235222939097235,0.681792090128184,77.0695592262259,80,18,-10,-10,1,175,175,-4,10,5,7
"114",1,0.0126486624193687,93.2405166519675,72.373036466853,0.163333584141985,0.0739460838482725,0.0900690325842693,0.290796336374014,0.762035992842801,108.236520945168,115,19,-55,-55,6,70,70,-3,125,125,-6
"115",1,0.0321118094576773,95.5809767263198,72.9052722461269,0.310524830974203,0.0707929825073563,0.0638264630788599,0.287375077693601,0.850955789315989,110.572279678165,110,16,-60,-65,5,-5,0,7,55,60,6
"116",1,0.0387038937178025,92.8134706663417,74.1037794194507,0.0826997656121219,0.0550611714555772,0.0797927122926247,0.335933783379775,0.828915109460061,187.808850395727,195,11,-95,-95,4,-35,-35,2,-100,-100,10
"117",1,0.0216616096745634,93.5882597042246,78.3948108848166,0.229629769381934,0.0927631243979607,0.0734112319975867,0.252127819842073,0.68057852784051,78.6017456984352,85,17,60,60,6,-50,-50,2,-80,-85,13
"118",1,0.0352713975427802,92.6968902069712,71.7429535296183,0.407931784423611,0.0732805812383475,0.0678225822360427,0.28731608248764,0.788019858848748,142.721487436528,150,15,-5,-5,1,-50,-60,7,-80,-80,5
"119",1,0.0132940826875919,94.8366033864114,79.5651010333758,0.337515790978877,0.0717510627600023,0.0736474974398735,0.397486376838844,0.702240013582766,224.843918846252,230,16,-245,-245,10,-95,-95,6,-125,-125,4
"120",1,0.0419261993021407,101.229263659047,77.2741244051531,0.260474818848985,0.0895729111785,0.0743117803998836,0.203870483558719,0.746310600362281,111.280702433392,110,16,-70,-75,1,1.4210854715202e-14,-5,9,40,40,0
"121",1,0.0344691518821021,95.6447774044892,73.550205162626,0.0925720305976444,0.0936335417676758,0.0909688698698625,0.331946432437997,0.820918118534098,105.701497610052,105,16,-85,-80,5,20,25,1,10,15,4
"122",1,0.00628530626369231,92.2736409561517,77.9247487571337,0.394713267545192,0.0851818663523861,0.0832317488624688,0.341896533377091,0.754532616492965,167.270724585461,170,13,-120,-120,10,-20,-15,3,-150,-145,6
"123",1,0.0398906182120845,96.755323549242,74.2093998773545,0.258343513887598,0.0641368653845653,0.0729978750474374,0.346451737483808,0.78559328131894,206.707956783257,210,13,-95,-100,7,-110,-120,4,-160,-160,14
"124",1,0.0357373382685515,93.6884774214782,74.3916922703465,0.32798899161163,0.0602487620700151,0.0837295976241732,0.442271965168815,0.675135256241025,88.6736829077729,95,13,-75,-80,11,55,50,6,-40,-40,9
"125",1,0.0546903046044219,96.2101453541836,73.1303754802583,0.312944493100181,0.0840049308849971,0.100137490264576,0.200559654807566,0.747217198415588,176.144417113402,180,16,-145,-145,1,-115,-120,0,-45,-45,0
"126",1,0.024301983489046,98.464002070851,79.2188795382062,0.193526985357151,0.0555386341700178,0.0768403527481645,0.220426103821851,0.832796820155208,133.524690993437,135,17,-90,-90,2,55,55,3,-50,-50,4
"127",1,0.0163655139896122,91.356495372017,74.1676192554847,0.144820492826826,0.0417807314836005,0.0794434743472491,0.257725873829602,0.620743416404347,136.372703190435,145,21,-175,-185,-1,20,20,0,-25,-25,1
"128",1,0.0162013111624339,94.6145685330432,74.8057225475173,0.318364894482473,0.0763116583428644,0.0748756179464737,0.304977126305706,0.707908392441102,79.6255503373018,80,16,-40,-40,0,35,35,2,45,50,10
"129",1,0.055086460480494,88.8118834144442,73.6629532174591,0.459897166567525,0.0804244426927214,0.0757895375993185,0.219663529358471,0.795445484250428,98.7548629024019,110,18,-35,-35,-4,10,10,2,5,5,3
"130",1,0.030270728624566,93.2372390851668,69.8312046313474,0.464563268075662,0.0715175079100185,0.0594003402153235,0.198285828497824,0.886637372465003,73.2545863300039,75,16,-25,-25,5,80,80,3,5,5,7
